Date,Home Team,Home Score,Away Team,Away Score
2018-08-24,Crest Ridge,19,Archie,28
2018-08-24,Cassville,42,Aurora,12
2018-08-24,Ruskin,6,Belton,61
2018-08-24,Winnetonka,34,Benton,20
2018-08-24,Jefferson (Festus),51,Bishop DuBourg with Hancock,6
2018-08-24,William Chrisman,0,Blue Springs,39
2018-08-24,Pleasant Hill,42,Boonville,0
2018-08-24,Ava,16,Buffalo,20
2018-08-24,Adrian,28,Butler,0
2018-08-24,Warrensburg,55,California,7
2018-08-24,Northeast (Kansas City),22,Cameron,40
2018-08-24,Confluence Prep Academy Charter,0,Cardinal Ritter,82
2018-08-24,Fayette,34,Carrollton,0
2018-08-24,Nixa,7,Carthage,38
2018-08-24,North County,56,Central (Cape Girardeau),34
2018-08-24,Crystal City,0,Chaffee,20
2018-08-24,Portageville,13,Charleston,56
2018-08-24,Marshall,16,Chillicothe,0
2018-08-24,Lafayette (St. Joseph),48,Clinton,0
2018-08-24,Duchesne,27,Clopton with Elsberry,19
2018-08-24,Concordia,15,Cole Camp,42
2018-08-24,Herculaneum,18,Cuba,14
2018-08-24,Hazelwood Central,2,De Smet Jesuit,37
2018-08-24,Ash Grove,0,Diamond,16
2018-08-24,Cabool,40,Doniphan,6
2018-08-24,South Harrison,22,East Buchanan,32
2018-08-24,Kelly,12,East Prairie,22
2018-08-24,Pembroke Hill,14,El Dorado Springs,8
2018-08-24,Bolivar,26,Eldon,42
2018-08-24,Ft. Zumwalt West,20,Eureka,24
2018-08-24,Southeast,25,Excelsior Springs,41
2018-08-24,Union,12,Farmington,23
2018-08-24,Hallsville,16,Father Tolton,29
2018-08-24,Skyline,60,Forsyth,12
2018-08-24,Raytown South,6,Fort Osage,35
2018-08-24,Festus,6,Fox,27
2018-08-24,Ft. Zumwalt East,43,Francis Howell Central,28
2018-08-24,Northwest (Cedar Hill),34,Francis Howell North,14
2018-08-24,Francis Howell,27,Ft. Zumwalt North,34
2018-08-24,Clayton,33,Gateway,0
2018-08-24,Rolla,31,Glendale,26
2018-08-24,Scott City,50,Grandview (Hillsboro),0
2018-08-24,Helias Catholic,35,Hannibal,34
2018-08-24,Kearney,46,Harrisonville,6
2018-08-24,East Newton,0,Hollister,35
2018-08-24,Ft. Zumwalt South,0,Holt,40
2018-08-24,Drexel with Miami (Amoret),22,Jasper,24
2018-08-24,Kirkwood,37,Jefferson City,0
2018-08-24,Fredericktown,19,Kennett,55
2018-08-24,Versailles,30,Knob Noster,68
2018-08-24,Ritenour,7,Ladue Horton Watkins,37
2018-08-24,Trenton,7,Lathrop,55
2018-08-24,Oak Grove,17,Lawson,32
2018-08-24,Kickapoo,0,Lebanon,41
2018-08-24,Liberty North,13,Lee's Summit North,40
2018-08-24,Park Hill,21,Lee's Summit West,34
2018-08-24,Greenfield,22,Liberal with Bronaugh,8
2018-08-24,Lee's Summit,43,Liberty,19
2018-08-24,Richmond,19,Liberty (Mountain View),61
2018-08-24,Warrenton,13,Liberty (Wentzville),21
2018-08-24,Hogan Prep Academy Charter,36,Lincoln College Prep,12
2018-08-24,Lamar,65,Logan-Rogersville,20
2018-08-24,Affton,7,Lutheran South,48
2018-08-24,Lift for Life Academy Charter,12,Lutheran St. Charles,35
2018-08-24,Kirksville,27,Macon,34
2018-08-24,Central (New Madrid County),50,Malden,40
2018-08-24,Scotland County,13,Marceline,43
2018-08-24,McDonald County,7,Marshfield,41
2018-08-24,Blair Oaks,38,Maryville,35
2018-08-24,Jennings,28,McCluer,0
2018-08-24,Lindbergh,17,Mehlville,7
2018-08-24,Plattsburg,14,Milan,41
2018-08-24,Caruthersville,27,Miller Career Academy,24
2018-08-24,Centralia,0,Monroe City,38
2018-08-24,Hermann,28,Montgomery County,12
2018-08-24,Fair Grove,34,Mountain Grove,0
2018-08-24,Monett,7,Mt. Vernon,37
2018-08-24,Ozark,0,Neosho with Neosho Christian,35
2018-08-24,Missouri Military Academy,0,North Callaway,63
2018-08-24,Grandview,23,North Kansas City,30
2018-08-24,Gallatin,31,North Platte,6
2018-08-24,Platte County,35,Oak Park,0
2018-08-24,Hazelwood West,40,Oakville,7
2018-08-24,Fulton,27,Osage,42
2018-08-24,St. Francis Borgia,42,Pacific,6
2018-08-24,Brookfield,6,Palmyra,7
2018-08-24,Raymore-Peculiar,41,Park Hill South,35
2018-08-24,Central (Springfield),20,Parkview,56
2018-08-24,Rockwood Summit,14,Parkway Central,21
2018-08-24,Marquette,26,Parkway North,7
2018-08-24,Parkway West,35,Parkway South,0
2018-08-24,Hickman,23,Pattonville,20
2018-08-24,Maysville with Winston,14,Penney,43
2018-08-24,DeSoto with Kingston,6,Perryville,3
